nome_empresa,setor,segmento_especifico,site_rede_social,evidencia_plano,evidencia_porte,nivel_confianca,fontes,cargo_alvo_linkedin
My Box,Academias/Fitness,Rede de academias/box de treinamento funcional,myboxoficial.com.br,Mensalidades divulgadas por unidade,"Mais de 150 unidades pelo Brasil, +50 mil alunos ativos",Baixa,myboxoficial.com.br,Diretor(a) de Expansão/Franquias; CEO/Fundador; Diretor(a) Comercial (matriz)
Vidya Studio,Academias/Fitness,Rede de estúdios de Hot Yoga/franquia,vidyastudio.com.br,Investimento inicial a partir de R$1.020.000 por franquia; mensalidades divulgadas por studio,"Mais de 35 studios no Brasil, Guatemala e Portugal — porte de R$300k+/mês incerto",Baixa,vidyastudio.com.br/franquias; hub.vidyastudio.com.br/franquia,Diretor(a) de Expansão/Franquias; CEO/Fundador; Diretor(a) Comercial (matriz)
Sorridents Clínicas Odontológicas,Clínicas/Estética,Rede de clínicas odontológicas (franquia),sorridents.com.br,"Plano odontológico próprio por R$19,90/mês, fidelidade mínima de 1 ano","200+ unidades no Brasil, +8 milhões de clientes atendidos, investimento de R$10 mi (+R$40 mi previstos)",Alta,abimed.org.br/noticias/sorridents-lanca-plano-odontologico-proprio-2; sorridents.com.br,Sócio(a)/Diretor(a) da rede; Diretor(a) de Marketing/Franquias; CEO
OdontoCompany,Clínicas/Estética,Rede de clínicas odontológicas (franquia),odontocompany.com,Pacotes/planos próprios com valores abaixo de mercado,+1.900 a 2.000 unidades em todo o país,Média,odontocompany.com; franquiaodontologica.com/odontocompany,Sócio(a)/Diretor(a) da rede; Diretor(a) de Marketing/Franquias; CEO
Botoclinic,Clínicas/Estética,Rede de clínicas de harmonização facial (franquia),botoclinic.com,"B.Club: adesão R$199,90 + 12 parcelas mensais fixas, 4 aplicações de toxina botulínica/ano","110-270 unidades no Brasil, faturamento de franqueados cresceu +500%",Alta,botoclinic.com/b-club; exame.com/negocios/ela-criou-imperio-estetica-harmonizacao-facial-300-milhoes,Sócio(a)/Diretor(a) da rede; Diretor(a) de Marketing/Franquias; CEO
Royal Face,Clínicas/Estética,Rede de clínicas de harmonização facial (grupo SMZTO),royalface.com.br,"""Carnê da Beleza"": financiamento parcelado em até 24x para procedimentos","270+ unidades, faturamento recorde de R$300 milhões/ano (2025), ~2 milhões de procedimentos",Média,exame.com/negocios/o-carne-da-beleza-e-os-r-300-milhoes-da-royal-face; abfexpo.com.br/imprensa/royal-face-mira-350-unidades,Sócio(a)/Diretor(a) da rede; Diretor(a) de Marketing/Franquias; CEO
Pello Menos,Clínicas/Estética,"Rede de institutos de depilação (cera/laser), franquia",pellomenos.com.br,"""Assinatura VIP"" mensal, débito recorrente, até 38% desconto","350+ unidades, faturamento de R$177 milhões em 2024 (~R$14,7 mi/mês)",Alta,portaldofranchising.com.br/historias-do-franchising/franquias-de-depilacao-negocio-milionario; pellomenos.com.br/assinatura-vip-cuidados-com-desconto,Sócio(a)/Diretor(a) da rede; Diretor(a) de Marketing/Franquias; CEO
belle.club (Instituto Embelleze),Clínicas/Estética,Clube de assinatura de salão de beleza,belle.club,"Planos belle.infinity e belle.premium, mensalidade fixa para uso ilimitado",+350 unidades via parceria com Instituto Embelleze (rede com 232-360 franquias),Média-Alta,mapadasfranquias.com.br/franquia/belle-club; brazilbeautynews.com/instituto-embelleze-e-belle-club,Sócio(a)/Diretor(a) da rede; Diretor(a) de Marketing/Franquias; CEO
Bessie Beauty Club,Clínicas/Estética,"Rede ""fast beauty"" com clube de assinatura",site institucional/Instagram,Clube de assinaturas com planos de R$112 a mais de R$400/mês,"21 unidades, faturamento de R$16,7 milhões, projeção R$30 mi em 2026, Selo ABF Excelência 2026",Alta,suafranquia.com/noticias/2026/05/bessie-beauty-club-clube-assinatura-35-lojas; moneyreport.com.br/negocios/bessie-beauty-club,Sócio(a)/Diretor(a) da rede; Diretor(a) de Marketing/Franquias; CEO
Facebeauty,Clínicas/Estética,Rede de clínicas de estética corporal e facial (franquia),facebeauty.com.br,"FB.Club: R$179,90/mês (12x), 2 aplicações de botox/ano","Meta de 3.000 assinantes até fim de 2024, rede nacional de unidades",Média,facebeauty.com.br/blog/post/facebeauty-lanca-seu-clube-de-assinatura-de-botox-o-fbclub,Sócio(a)/Diretor(a) da rede; Diretor(a) de Marketing/Franquias; CEO
dr.consulta,Clínicas/Estética,Rede de clínicas médicas populares (inclui odontologia),drconsulta.com,"""Assinatura dr.consulta"": 20% desconto em odontologia + avaliação odontológica inclusa","60+ clínicas em SP/RJ/BH, faturamento de R$225-320 milhões/ano, aportes de R$300+ mi",Média,neofeed.com.br/startups/com-aporte-de-r-170-milhoes-dr-consulta; drconsulta.com/conteudo/assinatura-dr-consulta,Sócio(a)/Diretor(a) da rede; Diretor(a) de Marketing/Franquias; CEO
GiOlaser,Clínicas/Estética,Rede de clínicas de depilação a laser e estética (franquia),giolaser.com.br,Vendas por pacotes fechados de sessões (assinatura recorrente não confirmada),"400 unidades em 21 estados, faturamento de R$200-250 milhões/ano",Baixa,exame.com/negocios/franquia-de-depilacao-de-giovanna-antonelli-chega-a-400-clinicas; suafranquia.com/noticias/2023/11/franquia-giolaser-soma-400-unidades,Sócio(a)/Diretor(a) da rede; Diretor(a) de Marketing/Franquias; CEO
Magrass,Clínicas/Estética,Rede de clínicas de emagrecimento e estética avançada (franquia),magrassfranchising.com.br,"""Magrass Club"" (app com conteúdo/receitas) — evidência fraca de assinatura recorrente","383 unidades, faturamento médio de R$130-200 mil/mês por unidade franqueada",Baixa-Média,guiafranquiasdesucesso.com/noticias/magrass-busca-franqueados; franquias.converlab.com.br/franquia-magrass,Sócio(a)/Diretor(a) da rede; Diretor(a) de Marketing/Franquias; CEO
Emagrecentro,Clínicas/Estética,Rede de clínicas de emagrecimento (franquia),emagrecentro.com.br,"""Clube Emagrecentro"" com site próprio; preços não encontrados publicamente",400+ unidades em 20 estados brasileiros,Baixa-Média,abf.com.br/rede-emagrecentro-conta-com-150-lojas-em-20-estados-brasileiros; clubemagrecentro.com.br,Sócio(a)/Diretor(a) da rede; Diretor(a) de Marketing/Franquias; CEO
Onodera,Clínicas/Estética,Rede de clínicas de estética facial e corporal (franquia),onodera.com.br,Nenhuma evidência específica de plano de assinatura mensal encontrada,"57+ clínicas no Brasil e Europa, 45 anos de mercado",Baixa,onodera.com.br/blog-franquias/onodera-completa-40-anos,Sócio(a)/Diretor(a) da rede; Diretor(a) de Marketing/Franquias; CEO
Natalia Beauty,Clínicas/Estética,Rede de clínicas de estética facial (franquia),nataliabeauty.com.br,"""Croma Beauty"": clube de assinatura B2B de equipamento a laser por R$3.000/mês (para clínicas parceiras)","Meta de 500 unidades em 5 anos, investimento a partir de R$232 mil por unidade",Baixa,exame.com/negocios/natalia-beauty-anuncia-franquia-com-procedimentos-a-partir-de-r-600; negociosdebeleza.beautyfair.com.br/natalia-beauty-lanca-clube-de-assinatura-de-laser,Sócio(a)/Diretor(a) da rede; Diretor(a) de Marketing/Franquias; CEO
Hub Odonto,Clínicas/Estética,"Rede de franquias odontológicas ""por assinatura""",hubodonto.rocketfranchise.com.br,"Franqueado paga R$3.990/mês fixo (modelo de assinatura para o franqueado, não paciente)",Fundada em 2018; escala pública limitada,Baixa,mapadasfranquias.com.br/noticia/hub-odonto-inova-e-chega-ao-mercado-odontologico,Sócio(a)/Diretor(a) da rede; Diretor(a) de Marketing/Franquias; CEO
Fisioforma / Botuclub,Clínicas/Estética,Clínicas de estética avançada com clube de assinatura de toxina botulínica,fisioforma.com.br,"Botuclub: R$149/mês (12x), 2 aplicações de botox/ano + retoques","Rede pequena (unidades em Ribeirão Preto, SP-Pacaembu, São Carlos, Franca, Poços de Caldas)",Baixa,fisioforma.com.br/botuclub-clube-de-toxina-botulinica; botuclub.com.br,Sócio(a)/Diretor(a) da rede; Diretor(a) de Marketing/Franquias; CEO
Wizard by Pearson,EdTech/Escolas,Rede de escolas de idiomas (franquia),wizard.com.br,Mensalidade ~R$277-742/mês (varia por unidade); promoção 1ª mensalidade R$99 + 12x R$279,"Maior rede de idiomas do Brasil, +1.250 unidades, faturamento médio de R$120 mil/mês por unidade",Alta,moneytimes.com.br/veja-7-franquias-de-escolas-de-idiomas-para-faturar-ate-r-120-mil-por-mes; wizardidiomas.com.br/quanto-custa-o-curso-de-ingles-na-wizard,CEO/Fundador; CMO/Diretor de Marketing; Diretor(a) de Growth
CNA Idiomas,EdTech/Escolas,Rede de escolas de idiomas (franquia),cna.com.br,"Plano CNA Go: Gold R$199/mês, Silver R$65/mês; presencial ~R$155-263/mês","727-740 unidades, ~400 mil alunos/ano, faturamento médio ~R$85 mil/mês por unidade",Alta,infomoney.com.br/business/cna-amplia-alcance-com-escolas-no-interior-do-brasil; compareescolas.com.br/cna-e-bom,CEO/Fundador; CMO/Diretor de Marketing; Diretor(a) de Growth
Fisk Idiomas,EdTech/Escolas,Rede de escolas de idiomas (franquia),fisk.com.br,Matrícula e planos mensais divulgados por unidade franqueada,+730-1.000 unidades no Brasil e exterior; faturamento médio ~R$54 mil/mês por unidade,Média,franquias.converlab.com.br/franquia-fisk; exame.com/pme/franquias-de-ensino-de-idioma,CEO/Fundador; CMO/Diretor de Marketing; Diretor(a) de Growth
CCAA,EdTech/Escolas,Rede de escolas de idiomas (franquia),ccaa.com.br,Planos de mensalidade divulgados no site,+700 unidades no Brasil; faturamento médio ~R$35 mil/mês por unidade,Média,guiadefranquiasbrasil.com.br/franquia-ccaa; moneytimes.com.br/confira-8-franquias-de-escolas-de-idiomas,CEO/Fundador; CMO/Diretor de Marketing; Diretor(a) de Growth
Yázigi Internexus,EdTech/Escolas,Rede de escolas de idiomas (franquia),yazigi.com.br,Mensalidade não divulgada publicamente por unidade,402 unidades; faturamento médio ~R$85 mil/mês por unidade,Alta,suafranquia.com/franquias/servicos-educacionais/cursos/franquia-yazigi; exame.com/pme/franquia-yazigi-exige-investimento-de-r-115-mil,CEO/Fundador; CMO/Diretor de Marketing; Diretor(a) de Growth
inFlux English School,EdTech/Escolas,Rede de escolas de idiomas (franquia digital/presencial),influx.com.br,Planos e mensalidade divulgados via materiais de franquia,"148-150 unidades, +50 mil alunos, faturamento médio ~R$98 mil/mês por unidade; 17x Selo de Excelência ABF",Alta,portaldofranchising.com.br/franquias/escola-de-idiomas-em-expansao; franquia.com.br/franquia/influx,CEO/Fundador; CMO/Diretor de Marketing; Diretor(a) de Growth
Cultura Inglesa,EdTech/Escolas,Rede de escolas de idiomas,culturainglesa.com.br,Mensalidades e matrículas divulgadas por unidade regional,"60-100 unidades, +80 mil alunos, 500 professores; expansão para educação básica bilíngue",Média,jornaldobras.com.br/noticia/127232/cultura-inglesa-entra-na-educacao-basica,CEO/Fundador; CMO/Diretor de Marketing; Diretor(a) de Growth
Kumon Brasil,EdTech/Escolas,"Rede de reforço escolar (matemática/português/inglês), franquia",kumon.com.br,"Mensalidade ~R$150-400 por matéria, cobrada mensalmente por unidade","Maior rede de franquias de educação do Brasil, +1.600 unidades, ~200-215 mil alunos; faturamento médio ~R$36 mil/mês por unidade",Alta,kumon.com.br/blog/kumon-e-a-8-maior-rede-de-franquias-do-brasil; idinheiro.com.br/negocios/franquias/franquia-kumon,CEO/Fundador; CMO/Diretor de Marketing; Diretor(a) de Growth
School of Rock Brasil,EdTech/Escolas,Rede de escolas de música (franquia),schoolofrock.com.br,"Mensalidade de R$500 a mais de R$1.000, conforme programa","Negócio avaliado em ~R$100 milhões, meta de 200 unidades no Brasil até 2033",Alta,bloomberglinea.com.br/estilo-de-vida/hora-do-show-como-a-escola-do-rock-se-tornou-um-negocio-de-r-100-milhoes,CEO/Fundador; CMO/Diretor de Marketing; Diretor(a) de Growth
Minueto Escola de Música,EdTech/Escolas,Rede de escolas de música (franquia),minueto.com,Aulas individuais a partir de R$359/mês (R$329 no plano semestral); musicalização infantil R$349/mês,23 unidades franqueadas; faturamento médio esperado por unidade ~R$60 mil/mês,Média,franquia.com.br/franquia/minueto-escola-de-musica; minueto.com/escola,CEO/Fundador; CMO/Diretor de Marketing; Diretor(a) de Growth
Elite Musical,EdTech/Escolas,Rede de escolas de música (franquia),elitemusical.com.br,Planos de mensalidade divulgados por unidade,"Autodenominada ""maior cadeia de escolas de música do Brasil"", mas apenas ~2 mil alunos em 3 estados",Baixa,elitemusical.com.br/franquias,CEO/Fundador; CMO/Diretor de Marketing; Diretor(a) de Growth
Bateras Beat,EdTech/Escolas,Rede de escolas de música (franquia),baterasbeat.com.br,Planos de mensalidade divulgados no site de franquias,"+40 unidades em ""4 continentes"" (presença internacional dilui porte no Brasil)",Baixa,franquias.baterasbeat.com.br,CEO/Fundador; CMO/Diretor de Marketing; Diretor(a) de Growth
Gran Cursos Online,EdTech/Escolas,EdTech - cursos preparatórios para concursos (assinatura),grancursosonline.com.br,Assinatura Ilimitada ~R$99/mês,Faturamento bruto de R$465 milhões em 2024 e projeção de R$550 milhões em 2025 (aporte BTG Pactual); 366 mil alunos ativos,Alta,economicnewsbrasil.com.br/2025/06/30/gran-cursos-online; neofeed.com.br/negocios/com-dinheiro-do-btg-gran-cursos-online,CEO/Fundador; CMO/Diretor de Marketing; Diretor(a) de Growth
Descomplica,EdTech/Escolas,EdTech - pré-vestibular/concursos (assinatura mensal),descomplica.com.br,Assinaturas mensais de ~R$15 a R$60 (vestibulares/concursos); mensalidades da Faculdade Digital,"+R$110 milhões captados em rodadas, aporte de R$450 milhões para faculdade digital; ~5 milhões de estudantes/mês",Alta,exame.com/pme/descomplica-recebe-aporte-de-r-450-milhoes; braziljournal.com/descomplica-levanta-us-84-milhoes,CEO/Fundador; CMO/Diretor de Marketing; Diretor(a) de Growth
Alura (Grupo Alun),EdTech/Escolas,EdTech - cursos de tecnologia (assinatura),alura.com.br,"Planos Alura Plus/Pro/Ultra Lab (acesso anual, cobrança recorrente)",Faturamento de R$500 milhões em 2023 e R$560 milhões em 2024; 800 mil alunos ativos; meta R$1 bilhão até 2027,Alta,exame.com/bussola/alura-a-escola-de-tecnologia-com-800-mil-alunos-que-faturou-r-500-mi; forbes.com.br/forbes-money/2025/06/alura-vira-grupo-alun,CEO/Fundador; CMO/Diretor de Marketing; Diretor(a) de Growth
Estratégia Concursos,EdTech/Escolas,EdTech - cursos preparatórios para concursos (assinatura Platinum),estrategiaconcursos.com.br,Assinatura Platinum mensal recorrente no cartão,Faturamento histórico de R$205 milhões (2019); captou R$100 milhões para aquisições,Média,braziljournal.com/estrategia-concursos-levanta-r-100-mi-para-aquisicoes; exame.com/insight/qconcursos-holding-grupoq-ipo,CEO/Fundador; CMO/Diretor de Marketing; Diretor(a) de Growth
QConcursos / GrupoQ (Yduqs),EdTech/Escolas,EdTech - cursos preparatórios para concursos (assinatura),qconcursos.com,Assinaturas de cursos/questões com cobrança recorrente,"Yduqs pagou R$208 milhões pela aquisição; receita de ~R$70 milhões já em 2020, crescendo 13x em 6 anos",Média,neofeed.com.br/startups/qconcursos-da-yduqs-cria-holding-e-mira-base-de-1-milhao-de-alunos; braziljournal.com/yduqs-compra-qconcursos-sua-primeira-edtech,CEO/Fundador; CMO/Diretor de Marketing; Diretor(a) de Growth
Stoodi,EdTech/Escolas,EdTech - pré-vestibular/Enem (assinatura mensal),stoodi.com.br,"Planos Foco/Essencial/Avançado, mensalidade de R$24,90 a R$49,90",+R$110 milhões captados em rodadas de investimento; faturamento não divulgado publicamente,Baixa,exame.com/pme/como-o-negocio-deste-professor-de-fisica-ja-captou-r-110-milhoes; stoodi.com.br/login/assine/assinatura-mensal,CEO/Fundador; CMO/Diretor de Marketing; Diretor(a) de Growth
Rocketseat,EdTech/Escolas,EdTech - cursos de programação/tecnologia (assinatura Rocketseat ONE),rocketseat.com.br,Assinatura Rocketseat ONE (mensal/semestral/anual),+55 mil alunos no Brasil e no mundo; sem faturamento público divulgado,Baixa,rocketseat.com.br/assinatura; sucessosa.com.br/noticia/existe-uma-rocketseat-disponivel-para-cada-desenvolvedor,CEO/Fundador; CMO/Diretor de Marketing; Diretor(a) de Growth
V4 Company,Agências de Marketing,Consultoria/agência de marketing digital (rede de franquias),v4company.com,Ticket médio por cliente entre R$4.000 e R$7.000/mês por unidade franqueada (até R$50.000 em contas com time dedicado),"Faturamento da rede de R$219,7 milhões em 2022 (+87% a/a), 230 franquias, ~3.500 profissionais",Média,exame.com/negocios/empresa-de-marketing-digital-para-pmes-v4-cresce-87; portalinsights.com.br/perguntas-frequentes/quanto-a-v4-company-cobra,CEO/Sócio-fundador; Diretor(a) Comercial; Head de Growth
GV8 (Agência GV8),Agências de Marketing,"Marketing digital full-service (sites, tráfego pago, redes sociais)",gv8.com.br,Sem tabela pública oficial; faixa de mercado referenciada R$1.500-4.000/mês,"+5.500 clientes ativos em 27 estados/602 municípios, 19+ anos de mercado",Média,gv8.com.br/a-gv8; blog.gv8.com.br,CEO/Sócio-fundador; Diretor(a) Comercial; Head de Growth
Webcer,Agências de Marketing,"Marketing digital, vendas e performance",webcer.digital,Faixas citadas por fontes agregadas: abaixo de R$1.000/mês a partir de R$3.000/mês,"+2.300 clientes atendidos em 10 anos, unidades em Goiânia, Brasília e São Paulo",Média,webcer.digital/en/home-webcer-english; webcer.digital/en/company,CEO/Sócio-fundador; Diretor(a) Comercial; Head de Growth
Trii,Agências de Marketing,Marketing digital / mídia paga e redes sociais,trii.com.br,"""Planos personalizados"" sem tabela pública de preço fixo","50 profissionais, +200 clientes, gerencia +R$3 milhões/mês em Google Ads, GPTW desde 2018, 12+ anos",Média,trii.com.br; trii.com.br/empresa-de-marketing-digital,CEO/Sócio-fundador; Diretor(a) Comercial; Head de Growth
Monks Brasil (ex-Raccoon Marketing Digital),Agências de Marketing,Agência de performance digital de grande porte,monks.com/pt,Não publica planos/tiers públicos; contratos corporativos sob medida,"+1.600 funcionários, 200+ grandes clientes (Natura, XP, Nubank, C&A)",Baixa (plano não público),monks.com/pt/articles/raccoon-agora-e-monks; propmark.com.br/digital/agencia-de-marketing-digital-cresce-165,CEO/Sócio-fundador; Diretor(a) Comercial; Head de Growth
Cadastra,Agências de Marketing,"Agência digital híbrida (performance, tecnologia, e-commerce)",pt.cadastra.com,Sem planos/pacotes públicos com preço; modelo consultivo por projeto,"Faturamento de R$175 milhões (projeção R$245 milhões), ~1.000 funcionários em 5 países após aquisição da Maeztra",Baixa (plano não público),braziljournal.com/cadastra-faz-mais-um-ma-para-crescer-no-ecommerce; pt.cadastra.com/sobre-a-cadastra,CEO/Sócio-fundador; Diretor(a) Comercial; Head de Growth
HighSales Digital,Agências de Marketing,Tráfego pago (Google Ads/Meta Ads) e sites,highsales.digital,Fee médio informado entre R$1.500 e R$7.000/mês por cliente,"+10 mil clientes atendidos historicamente, carteira com +R$10 milhões em campanhas geridas, 20 anos de mercado",Baixa-média,highsales.digital; highsales.digital/agencia-de-trafego-pago,CEO/Sócio-fundador; Diretor(a) Comercial; Head de Growth
E-Dialog,Agências de Marketing,Marketing digital / Inbound Marketing,edialog.com.br,"Propostas de investimento personalizadas, sem tabela pública","+1.000 clientes atendidos, 3ª melhor agência de Inbound Marketing do Brasil (RD Station, 2021)",Baixa-média,edialog.com.br/agencia-de-marketing-digital; edialog.com.br/gestao-de-trafego-pago,CEO/Sócio-fundador; Diretor(a) Comercial; Head de Growth
Agência Mestre,Agências de Marketing,"SEO, Inbound Marketing, Tráfego Pago",agenciamestre.com,Sem tabela pública de preços; orçamento sob consulta,"Eleita melhor agência digital do país por 4 anos consecutivos entre +1.500 agências avaliadas, 15+ anos",Baixa (plano não público),agenciamestre.com; agenciamestre.com/servicos,CEO/Sócio-fundador; Diretor(a) Comercial; Head de Growth
Digimax,Agências de Marketing,"Marketing digital / Adtech (Google Ads, Amazon Ads)",digimaxbrasil.com.br,Sem tabela pública; opções de projeto conforme orçamento,"Google Partner Premier há 7 anos consecutivos, certificação GPTW por 3 anos (90 pontos)",Baixa,digimaxbrasil.com.br; digimaxbrasil.com.br/google,CEO/Sócio-fundador; Diretor(a) Comercial; Head de Growth
Spiner,Agências de Marketing,"Marketing digital, Google/Meta Ads",spiner.com.br,Sem tabela pública de preços; soluções conforme orçamento,"+400 clientes atendidos em 6+ anos, Google Partner certificado",Baixa,spiner.com.br/agencia-spiner; spiner.com.br/agencia-marketing-digital,CEO/Sócio-fundador; Diretor(a) Comercial; Head de Growth
Compartilha Publicidade,Agências de Marketing,Tráfego pago (Google Ads),compartilhapublicidade.com.br,"Fee fixo a partir de R$800/mês, ou % sobre verba acima de R$5.000/mês investidos","15 anos de mercado, mas fala em ""dezenas de clientes"" — porte não claramente acima de 300k/mês",Baixa,compartilhapublicidade.com.br/agencia-de-trafego-pago-quanto-custa-contratar,CEO/Sócio-fundador; Diretor(a) Comercial; Head de Growth
SPOT MKT,Agências de Marketing,Tráfego pago / marketing digital para vendas,spotmkt.com.br,Sem tabela pública de preços,"+300 empresas atendidas desde 2016, parceira oficial Kommo CRM/RD Station CRM/Pipedrive",Baixa,spotmkt.com.br; spotmkt.com.br/blog/quanto-custa-contratar-uma-agencia-de-trafego-em-2026,CEO/Sócio-fundador; Diretor(a) Comercial; Head de Growth
NP Digital Brasil,Agências de Marketing,"SEO, mídia paga, growth marketing",npdigital.com/br,Sem planos/preços públicos; atendimento por proposta,"Marca global de Neil Patel, eleita agência de busca/performance do ano (2021)",Baixa (plano não público),npdigital.com/br; npdigital.com/br/sobre,CEO/Sócio-fundador; Diretor(a) Comercial; Head de Growth
